Density_(veh/hr)_TL,Density_(veh/hr)_CAwSD4WI,Density_(veh/hr)_RN,Time_(secs)
0.27,0.22,0.37,46.1
0.26,0.24,0.33,46.2
0.28,0.25,0.35,46.3
0.25,0.22,0.37,46.4
0.26,0.23,0.34,46.5
0.27,0.26,0.35,46.6
0.25,0.21,0.33,46.7
0.29,0.25,0.37,46.8
0.25,0.22,0.35,46.9
0.26,0.24,0.36,47.0
0.26,0.26,0.33,47.1
0.24,0.25,0.36,47.2
0.27,0.22,0.37,47.3
0.28,0.25,0.35,47.4
0.27,0.23,0.33,47.5
0.25,0.21,0.37,47.6
0.27,0.24,0.37,47.7
0.26,0.24,0.36,47.8
0.27,0.23,0.38,47.9
0.25,0.25,0.38,48.0
0.28,0.24,0.39,48.1
0.26,0.21,0.34,48.2
0.26,0.24,0.36,48.3
0.26,0.24,0.34,48.4
0.27,0.23,0.38,48.5
0.26,0.24,0.4,48.6
0.27,0.22,0.4,48.7
0.26,0.22,0.39,48.8
0.28,0.22,0.4,48.9
0.26,0.24,0.41,49.0
0.28,0.24,0.39,49.1
0.28,0.24,0.39,49.2
0.26,0.21,0.44,49.3
0.29,0.2,0.43,49.4
0.27,0.25,0.37,49.5
0.27,0.24,0.42,49.6
0.26,0.22,0.41,49.7
0.27,0.24,0.4,49.8
0.25,0.25,0.42,49.9
0.28,0.27,0.41,50.0
0.28,0.25,0.41,50.1
0.27,0.24,0.44,50.2
0.29,0.25,0.46,50.3
0.27,0.27,0.42,50.4
0.27,0.27,0.45,50.5
0.26,0.26,0.47,50.6
0.27,0.22,0.45,50.7
0.27,0.23,0.46,50.8
0.27,0.28,0.49,50.9
0.25,0.23,0.45,51.0
0.24,0.21,0.44,51.1
0.26,0.25,0.44,51.2
0.26,0.25,0.43,51.3
0.28,0.22,0.47,51.4
0.27,0.26,0.45,51.5
0.25,0.24,0.46,51.6
0.28,0.26,0.47,51.7
0.25,0.27,0.51,51.8
0.24,0.26,0.46,51.9
0.26,0.22,0.49,52.0
0.25,0.27,0.5,52.1
0.22,0.22,0.46,52.2
0.23,0.26,0.45,52.3
0.23,0.25,0.46,52.4
0.22,0.22,0.51,52.5
0.22,0.26,0.46,52.6
0.21,0.23,0.44,52.7
0.21,0.25,0.48,52.8
0.22,0.24,0.42,52.9
0.22,0.24,0.43,53.0
0.23,0.24,0.42,53.1
0.23,0.26,0.5,53.2
0.22,0.22,0.45,53.3
0.25,0.25,0.44,53.4
0.22,0.25,0.46,53.5
0.23,0.24,0.46,53.6
0.22,0.27,0.52,53.7
0.2,0.23,0.46,53.8
0.22,0.23,0.51,53.9
0.23,0.24,0.48,54.0
0.22,0.25,0.47,54.1
0.23,0.25,0.45,54.2
0.21,0.23,0.46,54.3
0.22,0.25,0.5,54.4
0.23,0.26,0.48,54.5
0.21,0.28,0.52,54.6
0.23,0.24,0.48,54.7
0.19,0.24,0.49,54.8
0.19,0.23,0.49,54.9
0.2,0.25,0.56,55.0
0.21,0.26,0.56,55.1
0.21,0.25,0.5,55.2
0.19,0.24,0.48,55.3
0.2,0.24,0.5,55.4
0.23,0.25,0.55,55.5
0.22,0.25,0.53,55.6
0.22,0.23,0.57,55.7
0.19,0.22,0.57,55.8
0.22,0.26,0.58,55.9
0.21,0.25,0.52,56.0
0.2,0.23,0.54,56.1
0.22,0.23,0.53,56.2
0.21,0.23,0.53,56.3
0.22,0.27,0.6,56.4
0.23,0.27,0.58,56.5
0.21,0.25,0.55,56.6
0.23,0.24,0.6,56.7
0.19,0.26,0.55,56.8
0.21,0.25,0.56,56.9
0.21,0.25,0.58,57.0
0.23,0.27,0.6,57.1
0.24,0.26,0.53,57.2
0.23,0.22,0.52,57.3
0.25,0.29,0.55,57.4
0.25,0.25,0.61,57.5
0.23,0.26,0.5,57.6
0.24,0.29,0.55,57.7
0.25,0.23,0.54,57.8
0.23,0.23,0.56,57.9
0.22,0.28,0.57,58.0
0.22,0.26,0.51,58.1
0.24,0.29,0.56,58.2
0.23,0.31,0.59,58.3
0.24,0.25,0.52,58.4
0.24,0.24,0.55,58.5
0.24,0.28,0.54,58.6
0.23,0.28,0.53,58.7
0.24,0.29,0.6,58.8
0.24,0.31,0.54,58.9
0.25,0.25,0.57,59.0
0.27,0.26,0.57,59.1
0.25,0.3,0.61,59.2
0.27,0.27,0.66,59.3
0.24,0.27,0.64,59.4
0.25,0.22,0.56,59.5
0.26,0.22,0.62,59.6
0.25,0.26,0.64,59.7
0.26,0.23,0.62,59.8
0.24,0.22,0.6,59.9
0.27,0.21,0.65,60.0
0.28,0.24,0.61,60.1
0.29,0.24,0.65,60.2
0.26,0.22,0.63,60.3
0.28,0.21,0.63,60.4
0.27,0.23,0.58,60.5
0.29,0.22,0.59,60.6
0.25,0.25,0.6,60.7
0.29,0.22,0.61,60.8
0.27,0.21,0.64,60.9
0.27,0.22,0.68,61.0
0.31,0.21,0.63,61.1
0.26,0.23,0.63,61.2
0.29,0.23,0.65,61.3
0.29,0.24,0.63,61.4
0.27,0.22,0.64,61.5
0.28,0.21,0.68,61.6
0.31,0.22,0.68,61.7
0.28,0.2,0.64,61.8
0.28,0.22,0.68,61.9
0.28,0.21,0.69,62.0
0.32,0.21,0.64,62.1
0.29,0.23,0.64,62.2
0.34,0.24,0.71,62.3
0.32,0.25,0.67,62.4
0.3,0.22,0.69,62.5
0.28,0.22,0.64,62.6
0.28,0.25,0.68,62.7
0.29,0.23,0.68,62.8
0.28,0.23,0.66,62.9
0.31,0.21,0.66,63.0
0.31,0.23,0.67,63.1
0.3,0.22,0.68,63.2
0.29,0.23,0.69,63.3
0.29,0.22,0.64,63.4
0.3,0.21,0.68,63.5
0.31,0.21,0.69,63.6
0.3,0.21,0.67,63.7
0.29,0.24,0.71,63.8
0.29,0.23,0.63,63.9
0.3,0.22,0.71,64.0
0.31,0.23,0.74,64.1
0.29,0.22,0.66,64.2
0.3,0.21,0.66,64.3
0.29,0.21,0.72,64.4
0.28,0.23,0.67,64.5
0.3,0.23,0.67,64.6
0.28,0.22,0.66,64.7
0.29,0.23,0.7,64.8
0.28,0.22,0.68,64.9
0.26,0.23,0.69,65.0
0.27,0.22,0.68,65.1
0.28,0.25,0.77,65.2
0.29,0.24,0.73,65.3
0.3,0.25,0.78,65.4
0.28,0.22,0.73,65.5
0.28,0.24,0.7,65.6
0.3,0.22,0.68,65.7
0.3,0.23,0.72,65.8
0.29,0.24,0.76,65.9
0.29,0.24,0.73,66.0
0.32,0.24,0.66,66.1
0.27,0.24,0.75,66.2
0.31,0.24,0.73,66.3
0.28,0.22,0.74,66.4
0.28,0.25,0.8,66.5
0.29,0.25,0.77,66.6
0.31,0.22,0.76,66.7
0.28,0.22,0.73,66.8
0.28,0.22,0.73,66.9
0.29,0.22,0.73,67.0
0.28,0.25,0.75,67.1
0.3,0.23,0.76,67.2
0.3,0.24,0.73,67.3
0.28,0.23,0.71,67.4
0.31,0.25,0.7,67.5
0.3,0.23,0.75,67.6
0.32,0.25,0.73,67.7
0.32,0.26,0.73,67.8
0.31,0.25,0.78,67.9
0.3,0.26,0.72,68.0
0.3,0.26,0.75,68.1
0.31,0.21,0.73,68.2
0.32,0.25,0.75,68.3
0.31,0.22,0.82,68.4
0.29,0.24,0.78,68.5
0.32,0.22,0.8,68.6
0.28,0.23,0.79,68.7
0.28,0.22,0.75,68.8
0.3,0.22,0.73,68.9
0.31,0.23,0.72,69.0
0.29,0.23,0.77,69.1
0.28,0.23,0.76,69.2
0.27,0.22,0.78,69.3
0.27,0.21,0.72,69.4
0.31,0.25,0.73,69.5
0.3,0.24,0.75,69.6
0.28,0.22,0.75,69.7
0.32,0.23,0.7,69.8
0.29,0.21,0.73,69.9
0.28,0.23,0.77,70.0
0.29,0.22,0.74,70.1
0.3,0.23,0.76,70.2
0.29,0.22,0.73,70.3
0.27,0.22,0.79,70.4
0.29,0.23,0.72,70.5
0.26,0.24,0.76,70.6
0.25,0.23,0.81,70.7
0.24,0.24,0.75,70.8
0.27,0.24,0.72,70.9
0.26,0.22,0.72,71.0
0.28,0.26,0.76,71.1
0.27,0.22,0.78,71.2
0.3,0.23,0.83,71.3
0.26,0.21,0.8,71.4
0.29,0.22,0.8,71.5
0.28,0.24,0.79,71.6
0.28,0.21,0.73,71.7
0.28,0.23,0.87,71.8
0.26,0.26,0.79,71.9
0.27,0.25,0.76,72.0
0.25,0.22,0.79,72.1
0.25,0.23,0.8,72.2
0.26,0.24,0.76,72.3
0.27,0.22,0.8,72.4
0.25,0.22,0.75,72.5
0.26,0.24,0.74,72.6
0.27,0.2,0.75,72.7
0.25,0.23,0.8,72.8
0.24,0.25,0.79,72.9
0.27,0.23,0.73,73.0
0.24,0.22,0.76,73.1
0.24,0.23,0.78,73.2
0.27,0.21,0.76,73.3
0.25,0.24,0.81,73.4
0.25,0.22,0.79,73.5
0.29,0.23,0.81,73.6
0.27,0.25,0.77,73.7
0.24,0.26,0.74,73.8
0.26,0.26,0.73,73.9
0.28,0.23,0.75,74.0
0.27,0.23,0.77,74.1
0.28,0.24,0.71,74.2
0.26,0.26,0.81,74.3
0.28,0.26,0.77,74.4
0.28,0.24,0.77,74.5
0.28,0.25,0.76,74.6
0.28,0.25,0.75,74.7
0.28,0.24,0.76,74.8
0.3,0.25,0.77,74.9
0.27,0.26,0.82,75.0
0.31,0.25,0.77,75.1
