car_name,speed,safe_distance,reaction_time,stopping_time
AggressiveCar6,3.9,5.91,0.3,1.52
AggressiveCar1,10.0,14.33,0.3,1.43
AggressiveCar2,10.0,14.68,0.3,1.47
AggressiveCar3,10.0,13.87,0.3,1.39
AggressiveCar4,9.7,13.76,0.3,1.42
AggressiveCar5,4.3,5.96,0.3,1.39
AggressiveCar6,4.0,5.65,0.3,1.41
AggressiveCar1,10.0,14.27,0.3,1.43
AggressiveCar2,10.0,13.59,0.3,1.36
AggressiveCar3,10.0,13.55,0.3,1.35
AggressiveCar4,9.8,13.18,0.3,1.34
AggressiveCar5,4.4,6.04,0.3,1.37
AggressiveCar6,4.1,6.19,0.3,1.51
AggressiveCar1,10.0,13.35,0.3,1.33
AggressiveCar2,10.0,13.43,0.3,1.34
AggressiveCar3,10.0,14.24,0.3,1.42
AggressiveCar4,9.9,14.41,0.3,1.46
AggressiveCar5,4.5,6.76,0.3,1.5
AggressiveCar6,4.2,6.09,0.3,1.45
AggressiveCar1,10.0,13.42,0.3,1.34
AggressiveCar2,10.0,14.1,0.3,1.41
AggressiveCar3,10.0,13.49,0.3,1.35
AggressiveCar4,10.0,13.46,0.3,1.35
AggressiveCar5,4.6,6.31,0.3,1.37
AggressiveCar6,4.3,6.3,0.3,1.47
AggressiveCar1,10.0,13.58,0.3,1.36
AggressiveCar2,10.0,13.84,0.3,1.38
AggressiveCar3,10.0,13.94,0.3,1.39
AggressiveCar4,10.0,13.61,0.3,1.36
AggressiveCar5,4.7,6.65,0.3,1.41
AggressiveCar6,4.4,6.36,0.3,1.45
AggressiveCar1,10.0,13.59,0.3,1.36
AggressiveCar2,10.0,14.18,0.3,1.42
AggressiveCar3,10.0,14.35,0.3,1.44
AggressiveCar4,10.0,14.23,0.3,1.42
AggressiveCar5,4.8,7.01,0.3,1.46
AggressiveCar6,4.5,6.23,0.3,1.38
AggressiveCar1,10.0,13.98,0.3,1.4
AggressiveCar2,10.0,14.59,0.3,1.46
AggressiveCar3,10.0,13.51,0.3,1.35
AggressiveCar4,10.0,13.74,0.3,1.37
AggressiveCar5,4.9,7.27,0.3,1.48
AggressiveCar6,4.6,6.64,0.3,1.44
AggressiveCar1,10.0,13.84,0.3,1.38
AggressiveCar2,10.0,14.48,0.3,1.45
AggressiveCar3,10.0,14.06,0.3,1.41
AggressiveCar4,10.0,13.46,0.3,1.35
AggressiveCar5,5.0,7.21,0.3,1.44
